,index,model,latency,lag,dataset,#task,tasks,image_dir,task_names
99,100,yolov3,0.10894664770834127,90,coco_val,10,47 21 23 45 51 36 33 67 14 67,/datasets/coco/val/val2017,"apple,bear,giraffe,bowl,carrot,skateboard,kite,cell phone,bird,cell phone"
100,101,yolov3_tiny,0.04430375245218265,135,coco_val,13,47 59 35 47 40 75 6 38 74 32 43 70 57,/datasets/coco/val/val2017,"apple,bed,baseball glove,apple,wine glass,vase,train,tennis racket,clock,sports ball,knife,toaster,couch"
101,102,yolov3_tiny,0.13981961408994042,268,coco_val,5,0 63 57 76 21,/datasets/coco/val/val2017,"person,laptop,couch,scissors,bear"
102,103,yolov3_tiny,0.06431172050131989,13,coco_val,15,72 1 68 10 71 6 10 30 38 31 27 75 42 17 19,/datasets/coco/val/val2017,"refrigerator,bicycle,microwave,fire hydrant,sink,train,fire hydrant,skis,tennis racket,snowboard,tie,vase,fork,horse,cow"
103,104,yolov3_tiny,0.04311710058685491,104,coco_val,26,17 23 33 48 72 3 54 17 54 11 25 28 23 78 68 24 50 38 46 0 55 7 60 57 51 73,/datasets/coco/val/val2017,"horse,giraffe,kite,sandwich,refrigerator,motorcycle,donut,horse,donut,stop sign,umbrella,suitcase,giraffe,toothbrush,microwave,backpack,broccoli,tennis racket,banana,person,cake,truck,dining table,couch,carrot,book"
104,105,yolov3_tiny,0.018662266976517964,236,coco_val,26,6 58 47 14 50 74 75 45 38 70 6 11 47 51 6 11 24 23 67 36 40 34 21 18 74 8,/datasets/coco/val/val2017,"train,potted plant,apple,bird,broccoli,clock,vase,bowl,tennis racket,toaster,train,stop sign,apple,carrot,train,stop sign,backpack,giraffe,cell phone,skateboard,wine glass,baseball bat,bear,sheep,clock,boat"
105,106,yolov3_tiny,0.08663279761354553,279,coco_val,41,18 32 52 65 21 11 62 10 70 56 73 35 58 59 58 63 55 33 69 34 28 15 72 76 70 76 61 14 59 61 55 39 49 66 10 73 0 18 42 42 68,/datasets/coco/val/val2017,"sheep,sports ball,hot dog,remote,bear,stop sign,tv,fire hydrant,toaster,chair,book,baseball glove,potted plant,bed,potted plant,laptop,cake,kite,oven,baseball bat,suitcase,cat,refrigerator,scissors,toaster,scissors,toilet,bird,bed,toilet,cake,bottle,orange,keyboard,fire hydrant,book,person,sheep,fork,fork,microwave"
106,107,yolov3_tiny,0.020547625125911337,29,coco_val,15,70 57 48 17 18 31 36 4 43 27 57 33 7 26 2,/datasets/coco/val/val2017,"toaster,couch,sandwich,horse,sheep,snowboard,skateboard,airplane,knife,tie,couch,kite,truck,handbag,car"
107,108,yolov3_tiny,0.4734989304499474,105,coco_val,40,47 73 66 54 77 13 1 14 20 7 56 70 47 34 46 69 37 10 29 77 42 46 66 62 5 30 1 39 60 12 76 73 72 36 36 6 13 30 17 58,/datasets/coco/val/val2017,"apple,book,keyboard,donut,teddy bear,bench,bicycle,bird,elephant,truck,chair,toaster,apple,baseball bat,banana,oven,surfboard,fire hydrant,frisbee,teddy bear,fork,banana,keyboard,tv,bus,skis,bicycle,bottle,dining table,parking meter,scissors,book,refrigerator,skateboard,skateboard,train,bench,skis,horse,potted plant"
108,109,yolov3_tiny,0.7780155576901411,258,coco_val,6,32 70 41 78 71 46,/datasets/coco/val/val2017,"sports ball,toaster,cup,toothbrush,sink,banana"
109,110,yolov3_tiny,0.01413593555175229,190,coco_val,24,73 21 59 58 20 24 61 2 19 62 63 17 40 8 6 18 42 0 51 70 20 64 0 39,/datasets/coco/val/val2017,"book,bear,bed,potted plant,elephant,backpack,toilet,car,cow,tv,laptop,horse,wine glass,boat,train,sheep,fork,person,carrot,toaster,elephant,mouse,person,bottle"
110,111,yolov3_tiny,0.2372330072992193,280,coco_val,7,10 50 12 55 3 51 2,/datasets/coco/val/val2017,"fire hydrant,broccoli,parking meter,cake,motorcycle,carrot,car"
111,112,yolov3_tiny,0.03860866271460545,270,coco_val,3,0 25 49,/datasets/coco/val/val2017,"person,umbrella,orange"
112,113,yolov3_tiny,0.05059803874660431,247,coco_val,35,53 73 54 6 33 52 20 78 64 73 38 41 43 43 0 4 53 41 67 12 67 21 69 20 74 26 55 8 48 18 71 57 59 55 12,/datasets/coco/val/val2017,"pizza,book,donut,train,kite,hot dog,elephant,toothbrush,mouse,book,tennis racket,cup,knife,knife,person,airplane,pizza,cup,cell phone,parking meter,cell phone,bear,oven,elephant,clock,handbag,cake,boat,sandwich,sheep,sink,couch,bed,cake,parking meter"
113,114,yolov3_tiny,0.5981221901152551,149,coco_val,6,46 2 27 49 33 29,/datasets/coco/val/val2017,"banana,car,tie,orange,kite,frisbee"
114,115,yolov3_tiny,0.0016334587611069498,96,coco_val,12,61 52 71 14 7 55 13 65 51 36 7 68,/datasets/coco/val/val2017,"toilet,hot dog,sink,bird,truck,cake,bench,remote,carrot,skateboard,truck,microwave"
115,116,yolov3_tiny,0.0018255254802398988,119,coco_val,18,36 68 45 53 63 55 25 47 32 35 74 50 38 2 13 26 14 43,/datasets/coco/val/val2017,"skateboard,microwave,bowl,pizza,laptop,cake,umbrella,apple,sports ball,baseball glove,clock,broccoli,tennis racket,car,bench,handbag,bird,knife"
116,117,yolov3_tiny,0.0011498870747119448,194,coco_val,5,60 55 66 46 53,/datasets/coco/val/val2017,"dining table,cake,keyboard,banana,pizza"
117,118,yolov3_tiny,0.31467304061660034,26,coco_val,9,10 62 53 69 68 42 78 59 31,/datasets/coco/val/val2017,"fire hydrant,tv,pizza,oven,microwave,fork,toothbrush,bed,snowboard"
118,119,yolov3_tiny,0.21600820741402044,162,coco_val,9,24 10 63 19 60 20 37 37 49,/datasets/coco/val/val2017,"backpack,fire hydrant,laptop,cow,dining table,elephant,surfboard,surfboard,orange"
119,120,yolov3_tiny,0.40741446541662296,159,coco_val,32,30 11 77 19 64 20 6 39 44 72 26 13 32 25 38 76 9 52 29 76 43 8 31 39 57 50 54 42 44 27 48 71,/datasets/coco/val/val2017,"skis,stop sign,teddy bear,cow,mouse,elephant,train,bottle,spoon,refrigerator,handbag,bench,sports ball,umbrella,tennis racket,scissors,traffic light,hot dog,frisbee,scissors,knife,boat,snowboard,bottle,couch,broccoli,donut,fork,spoon,tie,sandwich,sink"
120,121,yolov3_tiny,0.8626905220714904,120,coco_val,6,36 62 58 34 66 53,/datasets/coco/val/val2017,"skateboard,tv,potted plant,baseball bat,keyboard,pizza"
121,122,yolov3_tiny,0.24973286104060585,35,coco_val,17,14 67 9 59 73 67 38 31 78 61 73 53 46 28 68 37 45,/datasets/coco/val/val2017,"bird,cell phone,traffic light,bed,book,cell phone,tennis racket,snowboard,toothbrush,toilet,book,pizza,banana,suitcase,microwave,surfboard,bowl"
122,123,yolov3_tiny,0.024234724484675927,127,coco_val,29,68 7 8 21 0 55 65 77 77 30 27 6 61 47 43 26 5 45 48 7 9 5 6 67 9 42 20 36 17,/datasets/coco/val/val2017,"microwave,truck,boat,bear,person,cake,remote,teddy bear,teddy bear,skis,tie,train,toilet,apple,knife,handbag,bus,bowl,sandwich,truck,traffic light,bus,train,cell phone,traffic light,fork,elephant,skateboard,horse"
123,124,yolov3_tiny,0.21957734465394574,93,coco_val,20,5 47 62 52 63 24 36 34 7 66 63 23 17 68 31 63 26 52 11 37,/datasets/coco/val/val2017,"bus,apple,tv,hot dog,laptop,backpack,skateboard,baseball bat,truck,keyboard,laptop,giraffe,horse,microwave,snowboard,laptop,handbag,hot dog,stop sign,surfboard"
124,125,yolov3_tiny,0.002263722969739546,171,coco_val,19,69 8 47 33 67 29 24 76 68 41 74 6 8 14 77 41 34 64 37,/datasets/coco/val/val2017,"oven,boat,apple,kite,cell phone,frisbee,backpack,scissors,microwave,cup,clock,train,boat,bird,teddy bear,cup,baseball bat,mouse,surfboard"
125,126,yolov3_tiny,0.08313101133778733,238,coco_val,8,76 33 57 29 11 32 49 50,/datasets/coco/val/val2017,"scissors,kite,couch,frisbee,stop sign,sports ball,orange,broccoli"
126,127,yolov3_tiny,0.00269190582492607,261,coco_val,9,5 37 60 65 5 12 13 66 25,/datasets/coco/val/val2017,"bus,surfboard,dining table,remote,bus,parking meter,bench,keyboard,umbrella"
127,128,yolov3_tiny,0.6823493012435787,131,coco_val,6,8 17 69 55 78 5,/datasets/coco/val/val2017,"boat,horse,oven,cake,toothbrush,bus"
128,129,yolov3_tiny,0.03677434662105212,297,coco_val,16,46 43 5 69 19 59 63 63 49 6 32 20 40 32 28 37,/datasets/coco/val/val2017,"banana,knife,bus,oven,cow,bed,laptop,laptop,orange,train,sports ball,elephant,wine glass,sports ball,suitcase,surfboard"
129,130,yolov3_tiny,0.017538232373118044,23,coco_val,4,75 12 64 36,/datasets/coco/val/val2017,"vase,parking meter,mouse,skateboard"
130,131,yolov3_tiny,0.00621823078201685,194,coco_val,13,62 65 15 33 2 72 1 27 62 38 71 72 8,/datasets/coco/val/val2017,"tv,remote,cat,kite,car,refrigerator,bicycle,tie,tv,tennis racket,sink,refrigerator,boat"
131,132,yolov3_tiny,0.21023308743480115,162,coco_val,13,29 36 34 9 55 21 14 76 60 30 63 27 6,/datasets/coco/val/val2017,"frisbee,skateboard,baseball bat,traffic light,cake,bear,bird,scissors,dining table,skis,laptop,tie,train"
132,133,yolov3_tiny,0.023358825194833552,89,coco_val,12,60 69 69 0 44 49 55 46 62 23 64 44,/datasets/coco/val/val2017,"dining table,oven,oven,person,spoon,orange,cake,banana,tv,giraffe,mouse,spoon"
133,134,yolov3_tiny,0.05073432032394333,51,coco_val,2,15 23,/datasets/coco/val/val2017,"cat,giraffe"
134,135,yolov3_tiny,0.0011385953381489403,284,coco_val,7,48 19 66 75 51 9 2,/datasets/coco/val/val2017,"sandwich,cow,keyboard,vase,carrot,traffic light,car"
135,136,yolov3_tiny,0.07126995609048575,50,coco_val,18,10 30 64 74 30 70 33 8 37 48 40 64 66 40 2 75 53 5,/datasets/coco/val/val2017,"fire hydrant,skis,mouse,clock,skis,toaster,kite,boat,surfboard,sandwich,wine glass,mouse,keyboard,wine glass,car,vase,pizza,bus"
136,137,yolov3_tiny,0.06859416411328695,217,coco_val,2,53 27,/datasets/coco/val/val2017,"pizza,tie"
137,138,yolov3_tiny,0.07092543214735829,277,coco_val,3,63 1 61,/datasets/coco/val/val2017,"laptop,bicycle,toilet"
138,139,yolov3_tiny,0.6780227021579829,176,coco_val,21,3 51 43 46 54 61 23 19 37 60 6 73 17 46 67 72 16 39 5 9 73,/datasets/coco/val/val2017,"motorcycle,carrot,knife,banana,donut,toilet,giraffe,cow,surfboard,dining table,train,book,horse,banana,cell phone,refrigerator,dog,bottle,bus,traffic light,book"
139,140,yolov3_tiny,0.1110352557719758,121,coco_val,4,42 78 23 76,/datasets/coco/val/val2017,"fork,toothbrush,giraffe,scissors"
140,141,yolov3_tiny,0.011981845126013866,139,coco_val,23,14 4 78 31 59 23 0 66 75 43 42 0 77 57 76 75 8 9 37 61 12 72 29,/datasets/coco/val/val2017,"bird,airplane,toothbrush,snowboard,bed,giraffe,person,keyboard,vase,knife,fork,person,teddy bear,couch,scissors,vase,boat,traffic light,surfboard,toilet,parking meter,refrigerator,frisbee"
141,142,yolov3_tiny,0.02046896396312667,233,coco_val,4,42 11 50 20,/datasets/coco/val/val2017,"fork,stop sign,broccoli,elephant"
142,143,yolov3_tiny,0.12384930898256395,226,coco_val,54,66 47 11 50 8 15 4 72 61 23 29 7 30 34 62 4 21 20 11 54 18 47 14 73 61 75 18 28 74 70 63 62 75 13 40 24 36 67 60 65 70 51 42 6 10 51 54 5 53 4 19 11 8 67,/datasets/coco/val/val2017,"keyboard,apple,stop sign,broccoli,boat,cat,airplane,refrigerator,toilet,giraffe,frisbee,truck,skis,baseball bat,tv,airplane,bear,elephant,stop sign,donut,sheep,apple,bird,book,toilet,vase,sheep,suitcase,clock,toaster,laptop,tv,vase,bench,wine glass,backpack,skateboard,cell phone,dining table,remote,toaster,carrot,fork,train,fire hydrant,carrot,donut,bus,pizza,airplane,cow,stop sign,boat,cell phone"
143,144,yolov3_tiny,0.0015159204611384708,34,coco_val,2,35 32,/datasets/coco/val/val2017,"baseball glove,sports ball"
144,145,yolov3_tiny,0.10006913513545572,77,coco_val,4,64 4 17 19,/datasets/coco/val/val2017,"mouse,airplane,horse,cow"
145,146,yolov3_tiny,0.10278118224157004,269,coco_val,17,54 61 51 43 4 30 15 3 77 52 46 63 6 78 69 59 71,/datasets/coco/val/val2017,"donut,toilet,carrot,knife,airplane,skis,cat,motorcycle,teddy bear,hot dog,banana,laptop,train,toothbrush,oven,bed,sink"
146,147,yolov3_tiny,0.004277083049962071,244,coco_val,3,66 35 14,/datasets/coco/val/val2017,"keyboard,baseball glove,bird"
147,148,yolov3_tiny,0.002436570001464198,214,coco_val,3,49 57 40,/datasets/coco/val/val2017,"orange,couch,wine glass"
148,149,yolov3_tiny,0.008836597074694356,224,coco_val,4,71 66 41 3,/datasets/coco/val/val2017,"sink,keyboard,cup,motorcycle"
149,150,yolov3_tiny,0.012334805700860013,199,coco_val,10,24 66 33 77 7 17 78 24 34 52,/datasets/coco/val/val2017,"backpack,keyboard,kite,teddy bear,truck,horse,toothbrush,backpack,baseball bat,hot dog"
150,151,yolov3_tiny,0.05135589606500228,207,coco_val,16,75 4 7 39 55 49 76 49 38 30 58 32 64 22 32 67,/datasets/coco/val/val2017,"vase,airplane,truck,bottle,cake,orange,scissors,orange,tennis racket,skis,potted plant,sports ball,mouse,zebra,sports ball,cell phone"
151,152,yolov3_tiny,0.020692098656538337,225,coco_val,27,4 3 1 74 2 73 36 30 28 7 46 9 62 67 70 12 12 17 62 34 42 48 78 74 7 17 29,/datasets/coco/val/val2017,"airplane,motorcycle,bicycle,clock,car,book,skateboard,skis,suitcase,truck,banana,traffic light,tv,cell phone,toaster,parking meter,parking meter,horse,tv,baseball bat,fork,sandwich,toothbrush,clock,truck,horse,frisbee"
152,153,yolov3_tiny,0.922829595742744,53,coco_val,9,75 1 32 9 12 42 10 58 73,/datasets/coco/val/val2017,"vase,bicycle,sports ball,traffic light,parking meter,fork,fire hydrant,potted plant,book"
153,154,yolov3_tiny,0.002023645484364889,42,coco_val,9,57 69 17 16 3 1 21 4 65,/datasets/coco/val/val2017,"couch,oven,horse,dog,motorcycle,bicycle,bear,airplane,remote"
154,155,yolov3_tiny,0.004232824558620118,21,coco_val,14,46 63 42 1 75 42 75 54 7 73 29 74 30 49,/datasets/coco/val/val2017,"banana,laptop,fork,bicycle,vase,fork,vase,donut,truck,book,frisbee,clock,skis,orange"
155,156,yolov3_tiny,0.003047393617736387,114,coco_val,8,30 68 75 45 40 36 55 40,/datasets/coco/val/val2017,"skis,microwave,vase,bowl,wine glass,skateboard,cake,wine glass"
156,157,yolov3_tiny,0.09105944026265277,222,coco_val,6,41 32 35 22 25 34,/datasets/coco/val/val2017,"cup,sports ball,baseball glove,zebra,umbrella,baseball bat"
157,158,yolov3_tiny,0.0057527408141166865,148,coco_val,30,59 36 26 62 43 67 40 63 71 21 73 5 69 15 68 65 27 45 4 7 41 27 12 13 63 77 64 46 46 22,/datasets/coco/val/val2017,"bed,skateboard,handbag,tv,knife,cell phone,wine glass,laptop,sink,bear,book,bus,oven,cat,microwave,remote,tie,bowl,airplane,truck,cup,tie,parking meter,bench,laptop,teddy bear,mouse,banana,banana,zebra"
158,159,yolov3_tiny,0.02505718725747766,192,coco_val,16,25 62 22 1 44 0 45 33 28 29 40 14 17 55 7 59,/datasets/coco/val/val2017,"umbrella,tv,zebra,bicycle,spoon,person,bowl,kite,suitcase,frisbee,wine glass,bird,horse,cake,truck,bed"
159,160,yolov3_tiny,0.0054109905567678715,135,coco_val,5,31 6 56 4 60,/datasets/coco/val/val2017,"snowboard,train,chair,airplane,dining table"
160,161,yolov3_tiny,0.0029985324349454372,166,coco_val,26,50 2 45 18 1 76 21 27 21 68 71 23 52 43 71 72 19 70 23 60 15 24 43 39 4 44,/datasets/coco/val/val2017,"broccoli,car,bowl,sheep,bicycle,scissors,bear,tie,bear,microwave,sink,giraffe,hot dog,knife,sink,refrigerator,cow,toaster,giraffe,dining table,cat,backpack,knife,bottle,airplane,spoon"
161,162,yolov3_tiny,0.0021435095535798547,121,coco_val,5,38 11 61 53 34,/datasets/coco/val/val2017,"tennis racket,stop sign,toilet,pizza,baseball bat"
162,163,yolov3_tiny,0.09310837957239836,268,coco_val,5,39 22 38 8 78,/datasets/coco/val/val2017,"bottle,zebra,tennis racket,boat,toothbrush"
163,164,yolov3_tiny,0.0025974599147866053,37,coco_val,25,65 48 3 17 28 25 29 27 39 65 39 30 16 15 42 15 50 67 4 77 78 20 26 20 39,/datasets/coco/val/val2017,"remote,sandwich,motorcycle,horse,suitcase,umbrella,frisbee,tie,bottle,remote,bottle,skis,dog,cat,fork,cat,broccoli,cell phone,airplane,teddy bear,toothbrush,elephant,handbag,elephant,bottle"
164,165,yolov3_tiny,0.0038881864731536674,227,coco_val,42,26 30 74 78 9 38 25 72 25 51 77 75 68 34 10 10 44 68 32 34 13 72 59 20 28 60 36 59 66 48 70 12 36 50 21 49 64 43 23 6 31 72,/datasets/coco/val/val2017,"handbag,skis,clock,toothbrush,traffic light,tennis racket,umbrella,refrigerator,umbrella,carrot,teddy bear,vase,microwave,baseball bat,fire hydrant,fire hydrant,spoon,microwave,sports ball,baseball bat,bench,refrigerator,bed,elephant,suitcase,dining table,skateboard,bed,keyboard,sandwich,toaster,parking meter,skateboard,broccoli,bear,orange,mouse,knife,giraffe,train,snowboard,refrigerator"
165,166,yolov3_tiny,0.012769547619045512,161,coco_val,4,50 17 47 61,/datasets/coco/val/val2017,"broccoli,horse,apple,toilet"
166,167,yolov3_tiny,0.2903886846508794,184,coco_val,12,57 19 73 24 48 62 6 41 39 5 40 24,/datasets/coco/val/val2017,"couch,cow,book,backpack,sandwich,tv,train,cup,bottle,bus,wine glass,backpack"
167,168,yolov3_tiny,0.0019557071673386747,158,coco_val,9,6 67 35 36 5 76 18 52 3,/datasets/coco/val/val2017,"train,cell phone,baseball glove,skateboard,bus,scissors,sheep,hot dog,motorcycle"
168,169,yolov3_tiny,0.3264635677523521,39,coco_val,5,77 26 33 0 53,/datasets/coco/val/val2017,"teddy bear,handbag,kite,person,pizza"
169,170,yolov3_tiny,0.0019422056969726927,77,coco_val,15,2 7 4 49 23 64 10 31 33 78 65 0 34 50 56,/datasets/coco/val/val2017,"car,truck,airplane,orange,giraffe,mouse,fire hydrant,snowboard,kite,toothbrush,remote,person,baseball bat,broccoli,chair"
170,171,yolov3_tiny,0.8499206771743678,45,coco_val,4,7 78 34 21,/datasets/coco/val/val2017,"truck,toothbrush,baseball bat,bear"
171,172,yolov3_tiny,0.02546558192892437,83,coco_val,2,43 75,/datasets/coco/val/val2017,"knife,vase"
172,173,yolov3_tiny,0.8516933662231996,228,coco_val,20,20 47 72 0 31 46 55 72 49 67 22 14 72 23 75 61 47 2 75 67,/datasets/coco/val/val2017,"elephant,apple,refrigerator,person,snowboard,banana,cake,refrigerator,orange,cell phone,zebra,bird,refrigerator,giraffe,vase,toilet,apple,car,vase,cell phone"
173,174,yolov3_tiny,0.0652433961066634,269,coco_val,6,4 41 10 9 1 62,/datasets/coco/val/val2017,"airplane,cup,fire hydrant,traffic light,bicycle,tv"
174,175,yolov3_tiny,0.16511660035531794,297,coco_val,1,73,/datasets/coco/val/val2017,book
175,176,yolov3_tiny,0.0013108813258313498,275,coco_val,23,52 26 68 14 75 5 63 27 39 71 63 37 33 42 4 74 23 50 0 69 46 70 15,/datasets/coco/val/val2017,"hot dog,handbag,microwave,bird,vase,bus,laptop,tie,bottle,sink,laptop,surfboard,kite,fork,airplane,clock,giraffe,broccoli,person,oven,banana,toaster,cat"
176,177,yolov3_tiny,0.0070537633906322264,37,coco_val,3,55 28 64,/datasets/coco/val/val2017,"cake,suitcase,mouse"
177,178,yolov3_tiny,0.002293980298131186,209,coco_val,8,48 67 18 24 64 66 59 69,/datasets/coco/val/val2017,"sandwich,cell phone,sheep,backpack,mouse,keyboard,bed,oven"
178,179,yolov3_tiny,0.00773429250206465,71,coco_val,9,39 62 51 5 57 47 11 39 76,/datasets/coco/val/val2017,"bottle,tv,carrot,bus,couch,apple,stop sign,bottle,scissors"
179,180,yolov3_tiny,0.0022708223335487525,54,coco_val,27,74 40 32 76 52 23 55 56 40 27 53 54 61 4 53 71 13 47 21 13 2 65 16 9 45 64 14,/datasets/coco/val/val2017,"clock,wine glass,sports ball,scissors,hot dog,giraffe,cake,chair,wine glass,tie,pizza,donut,toilet,airplane,pizza,sink,bench,apple,bear,bench,car,remote,dog,traffic light,bowl,mouse,bird"
180,181,yolov3_tiny,0.008993930726120071,98,coco_val,8,68 29 50 59 78 46 73 41,/datasets/coco/val/val2017,"microwave,frisbee,broccoli,bed,toothbrush,banana,book,cup"
181,182,yolov3_tiny,0.017489966737814583,43,coco_val,12,62 55 15 30 48 42 40 56 23 42 39 67,/datasets/coco/val/val2017,"tv,cake,cat,skis,sandwich,fork,wine glass,chair,giraffe,fork,bottle,cell phone"
182,183,yolov3_tiny,0.0015575517641504757,143,coco_val,11,24 19 27 13 71 52 7 53 26 61 26,/datasets/coco/val/val2017,"backpack,cow,tie,bench,sink,hot dog,truck,pizza,handbag,toilet,handbag"
183,184,yolov3_tiny,0.11951333297092348,242,coco_val,7,8 36 4 70 43 7 71,/datasets/coco/val/val2017,"boat,skateboard,airplane,toaster,knife,truck,sink"
184,185,yolov3_tiny,0.05009615137983935,265,coco_val,6,17 32 48 4 28 5,/datasets/coco/val/val2017,"horse,sports ball,sandwich,airplane,suitcase,bus"
185,186,yolov3_tiny,0.00625415258687639,46,coco_val,1,66,/datasets/coco/val/val2017,keyboard
186,187,yolov3_tiny,0.03713164249534622,266,coco_val,25,26 65 65 66 68 34 30 45 9 8 39 48 65 9 13 64 30 20 52 32 10 35 37 32 76,/datasets/coco/val/val2017,"handbag,remote,remote,keyboard,microwave,baseball bat,skis,bowl,traffic light,boat,bottle,sandwich,remote,traffic light,bench,mouse,skis,elephant,hot dog,sports ball,fire hydrant,baseball glove,surfboard,sports ball,scissors"
187,188,yolov3_tiny,0.0019134694478070968,207,coco_val,37,3 2 36 37 17 31 14 69 69 32 9 1 11 42 74 34 52 4 70 53 51 58 5 77 38 9 35 63 50 75 30 54 57 39 30 75 7,/datasets/coco/val/val2017,"motorcycle,car,skateboard,surfboard,horse,snowboard,bird,oven,oven,sports ball,traffic light,bicycle,stop sign,fork,clock,baseball bat,hot dog,airplane,toaster,pizza,carrot,potted plant,bus,teddy bear,tennis racket,traffic light,baseball glove,laptop,broccoli,vase,skis,donut,couch,bottle,skis,vase,truck"
188,189,yolov3_tiny,0.053436682326604035,264,coco_val,9,9 38 49 45 61 76 58 26 77,/datasets/coco/val/val2017,"traffic light,tennis racket,orange,bowl,toilet,scissors,potted plant,handbag,teddy bear"
189,190,yolov3_tiny,0.6136045802294309,90,coco_val,4,11 58 7 18,/datasets/coco/val/val2017,"stop sign,potted plant,truck,sheep"
190,191,yolov3_tiny,0.009030397288885932,146,coco_val,1,13,/datasets/coco/val/val2017,bench
191,192,yolov3_tiny,0.10051506084660804,199,coco_val,9,15 52 11 46 26 60 35 66 9,/datasets/coco/val/val2017,"cat,hot dog,stop sign,banana,handbag,dining table,baseball glove,keyboard,traffic light"
192,193,yolov3_tiny,0.0024853845095262,139,coco_val,7,29 68 34 33 2 22 21,/datasets/coco/val/val2017,"frisbee,microwave,baseball bat,kite,car,zebra,bear"
193,194,yolov3_tiny,0.14092291316435573,219,coco_val,30,65 61 69 2 71 14 65 16 37 65 53 64 32 55 7 41 56 29 71 57 19 21 68 31 63 52 22 3 67 45,/datasets/coco/val/val2017,"remote,toilet,oven,car,sink,bird,remote,dog,surfboard,remote,pizza,mouse,sports ball,cake,truck,cup,chair,frisbee,sink,couch,cow,bear,microwave,snowboard,laptop,hot dog,zebra,motorcycle,cell phone,bowl"
194,195,yolov3_tiny,0.007382751981499336,178,coco_val,28,51 7 35 2 76 67 73 0 1 45 47 75 56 74 48 34 42 3 18 52 69 46 27 39 65 18 56 36,/datasets/coco/val/val2017,"carrot,truck,baseball glove,car,scissors,cell phone,book,person,bicycle,bowl,apple,vase,chair,clock,sandwich,baseball bat,fork,motorcycle,sheep,hot dog,oven,banana,tie,bottle,remote,sheep,chair,skateboard"
195,196,yolov3_tiny,0.0035446559318532923,186,coco_val,27,17 47 48 72 1 25 52 46 38 54 65 60 11 73 13 38 48 37 52 66 18 57 69 73 2 37 56,/datasets/coco/val/val2017,"horse,apple,sandwich,refrigerator,bicycle,umbrella,hot dog,banana,tennis racket,donut,remote,dining table,stop sign,book,bench,tennis racket,sandwich,surfboard,hot dog,keyboard,sheep,couch,oven,book,car,surfboard,chair"
196,197,yolov3_tiny,0.05748291778269796,35,coco_val,4,68 74 32 67,/datasets/coco/val/val2017,"microwave,clock,sports ball,cell phone"
197,198,yolov3_tiny,0.0011490069048873187,124,coco_val,18,12 4 45 67 21 32 60 67 11 26 2 14 32 40 29 53 67 64,/datasets/coco/val/val2017,"parking meter,airplane,bowl,cell phone,bear,sports ball,dining table,cell phone,stop sign,handbag,car,bird,sports ball,wine glass,frisbee,pizza,cell phone,mouse"
198,199,yolov3_tiny,0.3067750867937879,296,coco_val,7,52 55 45 10 15 21 77,/datasets/coco/val/val2017,"hot dog,cake,bowl,fire hydrant,cat,bear,teddy bear"
199,200,yolov3_tiny,0.0010329669551879734,39,coco_val,10,64 63 52 44 41 14 13 26 34 30,/datasets/coco/val/val2017,"mouse,laptop,hot dog,spoon,cup,bird,bench,handbag,baseball bat,skis"
