,remote,sandwich,motorcycle,horse,suitcase,umbrella,frisbee,tie,bottle,skis,dog,cat,fork,broccoli,cell phone,airplane,teddy bear,toothbrush,elephant,handbag,cost,car,truck,orange,giraffe,mouse,fire hydrant,snowboard,kite,person,baseball bat,chair,bed,skateboard,tv,knife,wine glass,laptop,sink,bear,book,bus,oven,microwave,bowl,cup,parking meter,bench,banana,zebra,toilet,couch,bird,cake,baseball glove,bicycle,spoon,clock,traffic light,tennis racket,refrigerator,carrot,vase,sports ball,dining table,keyboard,toaster,train,stop sign,pizza,apple,cow,backpack,potted plant,surfboard,scissors,boat,hot dog,sheep,donut
model_123,0.311124,0.52059,,0.732686,,,,0.719091,,0.341317,,,0.707039,,0.521404,,1.0,,0.797311,0.459078,36.8,,0.512604,,,,,,,0.739703,,,,0.705943,,0.499312,,,,0.725915,,0.876365,,0.517882,0.619405,,,,,,0.716452,,,0.748836,,,,,0.64851,,,,,,,,,0.542529,,,0.387812,,,,,,0.609665,,,
model_137,,,,,,,,0.686937,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.796611,,,,,,,,,,
model_7,,,,,,,,,,,0.832096,,,,,,,,,,110.4,0.721093,,,,,,,0.615598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.719116,,,,,,,,,,0.460013,,,0.506262,,,,,,
model_92,,,,,,,,,,,,,,,,,,,,0.501529,110.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.616678,,,,,,,,,,,,,,,,,,,,0.606877,
model_86,0.565403,,0.775853,,,,,0.606136,0.574202,,,0.803048,,,,,,,,0.501529,110.4,,,0.531246,,0.72452,,,,,,,0.699823,,,,,,0.763235,,,,0.556698,0.64203,0.572777,,,,,0.895728,,,,,0.735944,,,0.761688,0.612167,,0.657552,,,,,,,,,0.671636,,,,0.485847,,0.183548,,,,
model_51,,0.464548,,,,,,,,0.599406,,,,,,,,,,,110.4,,,,,,,,,,,,,,,0.600957,,,,0.806123,,0.767627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.852944,,,,,
model_45,,,,,,,,,0.578353,,,,,,,,0.792245,,0.872233,,110.4,,,,,0.717444,,,,0.765378,,,,,0.729422,,,,,0.68611,0.450682,,,0.686129,,0.630944,,0.574923,,,,,,,0.763201,,,,,,,,,,,0.645737,0.325856,,,,,,,,0.796339,,,,,
model_79,,,,,,,,,,,,,,,,,,,,,110.4,,,,,,,,,,,,,,,,,,,,0.458145,,,,,,,,,,,,,,,,0.400174,,,,,,,,,,,,,,,,,,,,,,,
model_78,,,,,,,,,,,,,,,,,,,,,110.4,,,,,,,,0.595599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.658625,,,,,,,,,,,,,,
model_44,,,0.803493,,0.639213,0.572147,,,,,,,,0.480459,,,,,,,110.4,,,0.56463,0.892569,,0.78285,,,,,,,,,,,0.70148,,,,0.786494,,,,,,,0.481993,0.909413,,,0.525551,,,,0.371155,0.769913,,,,,,,,,,,,,,,,,,,,,,
model_50,,,,,,,,,,,,,,,,,,,,0.506549,110.4,0.720566,,,,,,,,,,,,,,,,,,,0.458145,,,,,,0.614011,,,,,,,,,,,,,,,,,,,,,0.893045,,,,,,,,,,,,
model_87,,,,,,,,,,,,,,,,,,,,,110.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.878201,0.790613,,,,,,,,,,,,,,,,,,,,,,,,,0.222761,,,,
model_93,,,,0.834664,,,,,0.573772,,,,,,,,0.706652,,,,110.4,,,,0.865331,0.717017,,,,,0.689207,,,,,,,,0.661918,,,,,,,,0.611246,,,,,,,,,,,0.767235,,,,0.51202,,0.667335,0.578973,,,,,,,,,,,,,,,
model_6,,,,,,,,,,,,,,,,,,,,,110.4,,,,,0.709994,0.804692,,,,,,,,,,,,,0.748111,,,,,,,,,,,,,,,,,,,,0.731074,,,,,,,0.280106,,,,,,,,,,,,,
model_136,,0.52059,,,,,,,,0.258982,,,,,,,,,,,36.8,0.669161,,,,0.788476,0.766752,,0.61884,,,,,,,,0.537845,,,,,0.820109,,,,,,,,,,,,,,,,0.802583,,,,,0.596177,,,0.555096,0.0,,,0.730226,,,,,0.580099,,0.593129,,,
model_122,,,,,0.528196,,,,,,,,,,0.479716,,,0.0,,,36.8,,,,,,,0.442524,,,,,0.43069,,,,,,,,0.493115,,,0.462326,0.601708,,,,0.444331,,0.716452,,0.541275,,,,,,0.628749,0.785584,,,,,,,,,,0.789631,,,,,0.646711,,,,,
model_186,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.611702,,,,,,,,,,,,,,
model_192,,,,,,,,,,,,0.602168,,,,,,,,0.459078,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.499897,,,,,,0.586483,,,,0.64851,,,,,,0.689116,0.633228,,,0.730173,,,,,,,,,0.710219,,
model_145,,,,0.732686,,,,,,,,,,,,0.838777,,,,,36.8,,,,,0.788476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.661813,,,,,,,,
model_151,,,,,,,,,0.489154,0.341317,,,,,0.521404,0.80591,,,,,36.8,,0.512604,0.619431,,0.788476,,,,,,,,,,,,,,,,,,,,,,,,0.84913,,,,0.748836,,,,,,0.834759,,,0.596177,0.74398,,,,,,,,,,0.555382,,0.0,,,,
model_179,,,,,,,,,0.481584,,,,,,,,,,,,36.8,,,,,,,,,,,,,,0.794051,,,,,,,0.876365,,,,,,,,,,0.756318,,,,,,,,,,0.407429,,,,,,,0.730173,,0.398998,,,,,0.0,,,,
model_37,,,,,,,,,,0.585897,0.850752,,0.513575,,,,,,,,110.4,,,,0.888235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.627456,,,,,,,,,,,,,,0.728992,,
model_23,0.533094,,,,,,,,,,,,,,,,,,,,110.4,,,,,,,,,,,0.526609,,,0.726148,0.550803,,,,,,0.743319,,,,,,,,,,,,,,,,,,,,,,,0.561357,,,,,,,0.73613,,,,,,,,
model_22,0.574687,0.501397,,,,0.605255,0.729739,,,,,,,,,0.849825,,,,,110.4,,0.620231,,,,,0.674593,,,,,,,,0.604773,0.604946,,,0.738707,,,,,,,,0.567507,0.482462,,,,,,,,,,,,0.667088,,,,,,,,0.714974,0.698011,,,,,,,,,,
model_36,,,,,0.631859,,0.747334,,,,,0.843765,,,0.514237,,,0.283239,,,110.4,,,,0.902525,,0.78285,,,,,,0.643837,0.675856,,,,,,,0.445252,,0.606383,,,,0.556979,,,,,0.647917,,,,,,,,,,,,0.678109,,,,,,,,,,,,,,,,
model_178,,0.52059,,,,,,,,,,,,,0.521404,,,,,,36.8,,,,,0.756477,,,,,,,0.43069,,,,,,,,,,0.373268,,,,,,,,,,,,,,,,,,,,,,,0.633228,,,,,,,0.383293,,,,,,0.56724,
model_150,,,,0.732686,,,,,,,,,,,,,1.0,0.0,,,36.8,,0.496475,,,,,,0.63616,,0.636947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.633228,,,,,,,0.415124,,,,,0.710219,,
model_144,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.545131,,,,,,,,,0.71405,,,,,,,,,,,,,,,,
model_193,,,,,,,0.807707,,,,,,,,,,,,,,36.8,0.673358,,,,,,,0.627701,,0.676124,,,,,,,,,0.725915,,,,0.462326,,,,,,0.84913,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_187,0.340316,0.52059,,,,,,,0.489154,0.341317,,,,,,,,,0.797311,0.388601,36.8,,,,,0.788476,0.805357,,,,0.676124,,,,,,,,,,,,,0.517882,0.619405,,,0.701072,,,,,,,0.586483,,,,0.64851,,,,,0.74398,,0.633228,,,,,,,,,0.633272,0.0,0.598469,0.682094,,
model_191,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,0.650369,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_185,,0.52059,,0.732686,0.546233,,,,,,,,,,,0.847004,,,,,36.8,,,,,,,,,,,,,,,,,,,,,0.880072,,,,,,,,,,,,,,,,,,,,,,0.727058,,,,,,,,,,,,,,,,
model_152,,0.52059,0.690223,0.732686,0.565545,,0.8385,,,0.282163,,,0.887127,,0.499692,0.847004,,0.0,,,36.8,0.672319,0.512604,,,,,,,,0.676124,,,0.734181,0.809201,,,,,,0.510726,,,,,,1.0,,0.473582,,,,,,,0.777293,,0.828365,0.643371,,,,,,,,1.0,,,,,,,,,,,,,
model_146,,,0.690223,,,,,,,0.341317,,0.602168,,,,0.847004,1.0,0.0,,,36.8,,,,,,,,,,,,0.43069,,,0.499312,,0.858453,0.780191,,,,0.373268,,,,,,0.473582,,0.740575,,,,,,,,,,,0.407429,,,,,,0.542529,,,,,,,,,,0.710219,,0.846107
model_20,,,,,,0.605255,,0.657364,,,,0.885257,,,,,,,,,110.4,,,,,,,,0.611247,,,,,0.751876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.501423,,,,
model_34,,,,0.872945,,0.56112,,0.657364,,,0.798543,,,,,0.829102,,,,,110.4,,,,0.908422,,,0.577429,,,0.655267,,,0.691726,0.710542,,,,,0.711044,,,,,,,,,,,,,0.489897,,,,0.352698,,0.613631,0.691197,0.676868,,,0.678109,,0.658625,,0.768729,,0.683284,0.401158,,0.492977,0.501,,,,,,
model_35,,0.476191,,,,,,,,,,0.87098,,,,,,,,,110.4,,,,,,0.762163,,,,,,,,,,,,,,,,0.626379,,,,,,,,,,0.51151,,,,,,,,,0.525136,,,,,,,,,,,,,,,,,,
model_21,,,,,,,0.738852,0.611151,,0.506578,0.784182,,,,,,0.715064,,,,110.4,0.693077,0.595786,,,,,0.571715,,0.757368,0.691101,,,0.696293,0.708986,0.560152,,,,,0.429771,0.748846,,,,,,,0.434253,,0.790613,,,,0.705503,0.765919,,,,0.733155,0.576294,0.481036,,0.657335,0.561357,,,,,,,,0.492484,,,0.286121,,,,
model_147,,,,,,,,,,,,,,,,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.542633,,0.563198,,,,,,,,,,,0.633228,,,,,,,,,,,,,,
model_153,,,,,,,,,,,,,0.554851,,,,,,,,36.8,,,,,,0.766752,,,,,,,,,,,,,,0.510726,,,,,,0.554384,,,,,,,,,0.744153,,,0.64851,,,,0.564799,0.74398,,,,,,,,,,0.569768,,,,,,
model_184,,,,,,,,,,,,,,,,0.847004,,,,,36.8,,0.496689,,,,,,,,,,,0.714015,,0.428056,,,0.809858,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.257242,,,,,,,,,,0.609665,,,
model_190,,,,,,,,,,,,,,,,,,,,,36.8,,0.512604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.663793,,,,,0.584919,,,,,0.56724,
model_194,0.340316,,0.705841,,,,0.8385,,,,0.624608,,,,0.521404,,,,,,36.8,0.673358,0.496689,,,0.756477,,0.442524,,,,0.586018,,,,,,0.858453,0.809858,0.657567,,,0.373268,0.517882,0.619405,0.636182,,,,0.84913,0.757955,0.756318,0.550032,0.748836,,,,,,,,,,0.74398,,,,,,0.789631,,0.66841,,,0.663691,,,0.710219,,
model_180,0.340316,,,,,,,0.657536,,,0.624608,,,,,0.80591,,,,,36.8,0.66489,,,0.928225,0.756477,,,,,,0.583411,,,,,0.537845,,0.780191,0.694433,,,,,0.608633,,,0.545278,,,0.757955,,0.542633,0.735642,,,,0.808587,0.639297,,,,,0.71405,,,,,,0.771016,0.398998,,,,,0.0,,0.652237,,0.814761
model_157,,,,,,0.524235,,,,,,,,,,,,,,,36.8,,,,,,,,,,0.664729,,,,,,,,,,,,,,,0.636182,,,,0.84913,,,,,0.586483,,,,,,,,,0.74398,,,,,,,,,,,,,,,,
model_143,0.340316,,,,0.549631,,0.8385,,,0.315391,,0.602168,0.682276,0.533442,0.521404,0.847004,,,0.797311,,36.8,,0.512604,,0.939942,,0.805357,,,,0.676124,,,0.734181,0.809201,,0.537845,0.858453,,0.725915,0.519882,0.876365,,,,,,0.701072,,,0.740575,,0.550032,,,,,0.828365,,,0.851171,0.407429,0.596177,,0.689116,0.633228,0.367642,0.568225,0.730173,0.796611,0.419945,0.66841,0.415124,,,,0.609665,,0.565224,0.846107
model_25,,,,0.91744,,,0.769194,,,0.628383,,0.90001,,0.493153,,,0.760641,,,0.521875,110.4,,,0.588877,,,0.776791,0.618907,,,,0.542445,,0.751876,,,,0.724885,0.767667,0.83864,,0.789086,,,,,,,,0.89923,,0.65556,,,,,,0.776269,,,,0.523911,,0.67758,,,,0.895563,,,,,,,,,,,,0.770953
model_31,,,0.809903,,,,,0.623202,,,,,0.60846,0.480789,,,,,,,110.4,,,,0.873165,,,,,,,,0.733434,,,,,0.734108,0.763235,,0.455138,,,,,,,,,,0.753312,,,,,,,,,,0.639308,,,,,,,,,,,0.778194,,,,,,,0.606877,
model_19,,0.514909,,,,,,,,,,,,,0.552633,0.845976,,,,0.50147,110.4,,,,,,0.804692,,,,,,,,,0.600957,0.592564,,,,,,,,,,,,,,,,,,,,,,,,,,0.514795,,,,,,,0.678827,,,,,,,,,,
model_18,,,,,,,,,,,,,,,,,,,,,110.4,,,,0.850869,,,0.531212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.664839,,,
model_30,,0.514909,,0.916013,,,,0.643948,0.582957,,,0.90001,0.623042,,0.53909,,0.776121,,0.883522,,110.4,,0.613988,,,,,0.645551,,0.767659,,0.538369,,0.736839,,,,0.72739,,,,,0.670606,0.663068,0.576077,,,,0.495382,,,0.669822,0.518449,,,,,0.761156,,0.747595,,,,,,0.678583,,,,,,0.784171,,,,,,,,
model_24,,,,0.902112,,0.595461,,,,,,,,,,,,,,,110.4,,,,,,,0.645551,,,,,,0.735999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.507756,0.722058,,,,,,0.717218,0.453384,,,,,0.501423,,,0.634462,
model_142,,,,,,,,,,,,,0.887127,0.533442,,,,,0.797311,,36.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.684711,,,,,,,,,,,
model_156,,,,,,,,,,0.341317,,,,,,,,,,,36.8,,,,,,,,,,,,,0.734181,,,0.525375,,,,,,,0.385461,0.619405,,,,,,,,,0.748836,,,,,,,,,0.596177,,,,,,,,,,,,,,,,,
model_181,,,,,,,0.8385,,,,,,,0.533442,,,,0.0,,,36.8,,,,,,,,,,,,0.597356,,,,,,,,0.511119,,,0.517882,,0.627925,,,0.473582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_195,0.340316,0.52059,0.69903,,,,,0.686937,0.489154,,,,0.887127,,0.499692,,,,,,36.8,0.674391,0.512604,,,,,,,0.739973,0.676124,0.592388,,0.734181,,,,,,,0.492865,,0.373268,,0.619405,,,,0.499897,,,,,,0.586483,0.777293,,0.816684,,,,0.407429,0.596177,,,,,,,,0.419945,,,,,0.0,,0.682094,0.573827,
model_183,,,,,,,,0.719091,,,,,,,,,,,,0.459078,36.8,,0.512604,,,,,,,,,,,,,,,,0.809858,,,,,,,,,0.701072,,,0.740575,,,,,,,,,,,,,,,,,,,0.763418,,0.66841,0.383293,,,,,0.710219,,
model_197,,,,,,,,,,,,,,,0.521404,,,,,,36.8,,,,,,,,,,,,,,,,,,,,,,,0.462326,,,,,,,,,,,,,,0.779139,,,,,,0.710889,,,,,,,,,,,,,,,,
model_168,,,0.690223,,,,,,,,,,,,0.521404,,,,,,36.8,,,,,,,,,,,,,0.734181,,,,,,,,0.880072,,,,,,,,,,,,,0.545131,,,,,,,,,,,,,0.519058,,,,,,,,0.0,,0.603016,0.56724,
model_140,,,,,,,,,,,,,0.887127,,,,,0.0,,,36.8,,,,0.923499,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,
model_154,0.340316,,0.660974,0.724502,,,,,,,0.562584,,,,,0.847004,,,,,36.8,,,,,,,,,,,,,,,,,,,0.601003,,,0.344638,,,,,,,,,0.672684,,,,0.777293,,,,,,,,,,,,,,,,,,,,,,,,
model_32,,,,,0.634965,0.588807,,0.630532,0.579911,,0.806827,,0.571678,,,,,,,,110.4,0.711655,,0.57989,,,,,,,,0.533405,,,,,,,,,,,0.626379,0.64203,,0.627439,,0.561857,0.461394,,,,,0.725222,0.723741,0.799382,,,,,,,0.507756,,,,,,0.652745,,,,,,,,,,,0.736622
model_26,0.579004,0.514909,0.7972,0.902112,0.650279,0.598653,0.790502,,,0.604215,0.866925,0.896562,0.571678,,,,,,,,110.4,0.717623,,,0.92714,0.72452,0.78285,,,,,,0.719981,,,,0.611136,,,0.834064,,0.794729,0.626379,0.686129,,,,,0.509012,,,0.694594,,,,,,,,0.740923,,,,0.705648,,,0.218733,,0.790319,,,0.775837,,,0.850824,,,0.701674,,0.770953
model_27,,,,,,,,,,,,,,,,,,,,,110.4,,,,,,,,,,,,,,,,,,,,,,,,,,0.665179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_33,,,,,,,,,,,,,,,,,,,,,110.4,,,,,,0.827788,,,0.766382,,,0.741334,,,,,0.716126,,,,0.783838,,,,,,,,,,0.694594,,,,,,,,,,,,,,,,,,,,0.775837,,,0.838728,,0.672105,0.762868,,
model_155,,,,,,,0.752445,,,0.293128,,,0.554851,,,,,,,,36.8,,0.512604,0.610143,,,,,,,,,,,,,,0.830144,,,0.492865,,,,,,,,0.349881,,,,,,,0.711899,,0.799741,,,,,0.54488,,,,,,,,,,,,,,,,,0.769185
model_141,,,,,,,0.8385,,,,,,0.682276,,,0.847004,1.0,0.0,,,36.8,,,,0.91254,,,0.442524,,0.739828,,,0.597356,,,0.332875,,,,,,,,,,,0.693859,,,,0.766379,0.756318,0.550032,,,,,,0.643371,,0.707871,,0.596177,,,0.633228,,,,,,,,,0.663691,0.0,0.609665,,,
model_169,,,,,,,,,,,,,,,,,0.904225,,,0.175447,36.8,,,,,,,,0.63616,0.734806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.789631,,,,,,,,,,
model_196,0.340316,0.52059,,0.732686,,0.524235,,,,,,,,,,,,,,,36.8,0.674391,,,,,,,,,,0.592388,,,,,,,,,0.519882,,0.373268,,,,,0.701072,0.473582,,,0.756318,,,,0.777293,,,,0.834759,0.851171,,,,0.689116,0.611702,,,0.711002,,0.419945,,,,0.663691,,,0.652237,0.573827,0.814761
model_182,,0.52059,,,,,,,0.473011,0.341317,,0.602168,0.682276,,0.499665,,,,,,36.8,,,,0.909913,,,,,,,0.589228,,,0.809201,,0.510391,,,,,,,,,,,,,,,,,0.651288,,,,,,,,,,,,,,,,,,,,,,,,,,
