,snowboard,carrot,keyboard,cell phone,sports ball,clock,bus,person,surfboard,refrigerator,knife,backpack,dog,cup,bear,tie,banana,baseball glove,tv,microwave,bowl,fork,couch,umbrella,kite,train,remote,cost,oven,bicycle,skis,orange,sink,sheep,spoon,traffic light,airplane,teddy bear,laptop,giraffe,bed,mouse,hair dryer,donut,chair,boat,cake,scissors,stop sign,toilet,book,bench,broccoli,elephant,frisbee,apple,toothbrush,parking meter,bottle,cow,pizza,car,dining table,sandwich,handbag,hot dog,horse,bird,suitcase,skateboard,vase,tennis racket,toaster,zebra,fire hydrant,motorcycle,cat,potted plant,wine glass,baseball bat,truck
model_61,,0.43,,,0.55,,,,,,,,,,,,,,,,,,,,,,,53.0,,,,,0.57,,,,,,,,,,,,0.51,,,0.19,,,,,,,,,,0.43,,,,,,,,,0.66,,,,,,,,,,,,,,0.4
model_87,,,,0.56,,0.71,,0.75,,,,,0.73,,0.69,0.58,,,,,,,,0.67,0.68,,,65.0,0.58,0.67,0.59,,,,,0.61,,0.76,,,,0.71,,,,0.59,0.61,0.17,,0.71,,,,,0.71,,0.36,,0.61,,,,,,0.43,,,,,0.77,,0.75,,,0.74,0.76,,,,,
model_90,0.63,,,,,,0.76,0.75,,0.6,,0.44,,0.66,,,,,0.67,,,0.68,,,0.67,0.8,,43.0,0.56,0.67,0.63,,0.64,,0.5,0.62,,,0.71,,0.61,0.77,,,,,,0.17,0.68,0.68,,,0.52,0.87,0.67,0.41,,0.54,,,0.63,0.68,,,,0.49,,0.52,,0.77,0.54,0.78,0.35,0.84,,0.77,,,0.61,0.72,0.49
model_40,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56,18.0,,,,,,,,,,,,,,,,,,,,,0.75,,,,,,,,,,,,,,,,,,,,,,,,0.18,,,,,,,,
model_110,0.53,0.44,0.55,,,,,0.72,,0.54,,0.29,,,0.7,,,,0.7,,,0.42,0.48,0.59,,0.73,0.53,51.0,0.45,0.54,,0.56,0.61,,,0.56,0.77,,,0.81,0.62,0.68,0.0,0.64,,0.58,0.51,0.19,0.81,0.68,0.31,0.41,,0.82,0.67,0.3,,0.47,,,0.63,0.63,,0.43,,0.51,0.7,,0.54,,,0.62,0.29,0.83,0.64,0.69,0.77,0.51,0.49,0.55,
model_141,0.73,,,0.57,,,,0.78,,,0.56,,,,0.82,,0.54,,0.72,0.67,,,,0.71,,0.86,0.65,60.0,0.63,,,,0.71,,,0.64,0.88,,,0.91,0.7,,,,,,,,,0.77,,,,0.92,,0.37,,,,0.73,,0.7,0.54,0.41,,0.52,0.81,,0.66,,0.54,0.82,0.62,0.9,0.84,,0.88,,0.63,,
model_116,0.69,,,0.54,0.69,0.75,,,0.71,,,0.3,0.67,0.57,0.82,,0.55,,0.74,,,0.49,,,,0.83,,57.0,0.55,0.6,,0.6,0.68,,0.37,0.59,0.86,0.77,,0.9,,,0.0,0.75,0.51,,,,0.89,,,,,0.87,0.77,,0.44,0.6,0.58,0.74,0.66,0.66,,,0.33,,,,0.59,,,,,0.89,0.81,0.72,0.81,,,,
model_103,0.3,,0.44,,0.5,0.56,0.62,0.67,,,,0.26,,0.48,0.45,0.47,0.4,,0.49,0.26,,,0.4,0.48,0.55,,0.42,25.0,,,,0.41,0.53,0.57,0.3,0.46,,0.55,0.48,,,,,,,,0.46,,0.48,0.58,,0.34,,,0.56,,,0.29,0.49,0.58,0.5,0.58,0.44,0.33,0.27,0.41,0.61,0.41,0.44,,0.39,0.51,,0.69,0.51,0.57,0.57,,,,0.37
model_113,0.62,0.46,,0.52,0.64,,0.72,,0.68,,,,0.62,0.56,0.78,0.58,,0.55,,,,0.43,0.49,,0.62,,0.57,35.0,,,0.59,0.57,0.65,,0.32,0.57,,,,,,0.7,,0.7,0.51,,,,0.79,,0.34,,0.5,,,0.32,0.35,,0.57,,0.64,0.64,,0.49,0.33,0.51,,0.46,0.59,0.68,,0.69,,,,0.72,0.77,,,0.59,
model_144,,,,,,,,,,,,,,,,,,,,,,0.59,,,,,,34.0,,0.66,,,,,,,,,,0.79,,,,0.64,,0.62,,,,,,,,,,,,,,,0.69,,,0.38,,,,,,,,,0.44,,,,,,,,
model_42,0.59,0.49,0.66,0.54,0.69,0.68,0.77,0.77,0.73,0.62,0.44,0.37,0.69,0.62,0.76,0.61,0.47,0.58,0.69,0.58,0.57,0.5,0.49,0.65,0.65,0.74,0.57,37.0,,0.61,,,0.69,,,,,,,,,,,,,,,0.21,,,,0.49,0.46,,,,,,,,,,,,,,,,0.64,,0.44,0.75,,,,,,,,,0.46
model_33,,,,,,,,,,,0.48,,,,,,,,,,,,,,0.67,,,33.0,0.69,,,,,,,,,,,,,,,,0.57,,,0.29,,,0.35,,,,,,,,0.61,,,,,,0.4,,,,,,,0.8,,,,,,,,,
model_147,,,,0.55,,0.74,,,,,,,,,,,,,,,,,,0.7,0.7,0.82,,75.0,,,0.65,,,,,,,0.81,,,,,,,,,,,,,0.4,,,,0.81,,,,0.6,,0.7,,0.54,,0.39,,,,,,0.53,,,,,,,0.63,,,
model_70,0.39,,0.48,,0.52,,0.62,,0.59,,0.4,,,,,,0.48,,,,,,,,,,0.49,42.0,0.41,,,,,,0.34,,,0.58,0.55,,0.49,0.49,,0.59,,,0.48,,,0.59,0.33,,0.43,,0.58,0.31,0.07,,,0.61,,,,,,0.37,0.64,,0.42,,0.41,,,,0.53,,0.64,,,0.46,0.38
model_49,0.43,0.45,0.58,0.44,0.58,0.66,,,0.62,,0.42,,0.62,,0.64,,,0.55,,,,0.41,,,,0.65,0.48,50.0,,,0.59,,,0.59,0.34,0.6,0.67,0.62,,0.7,0.44,0.59,,0.5,0.51,0.53,,0.06,0.59,,0.29,,0.43,0.7,0.67,,,0.44,,,0.6,,,,,,,0.42,0.62,0.66,0.43,0.67,,0.73,0.6,,,0.55,,0.56,
model_71,0.38,0.45,0.55,0.5,0.58,0.63,,,,,0.42,,0.62,,0.59,,,0.45,0.67,0.41,,0.49,,0.6,,0.63,0.51,72.0,0.47,,0.65,,,0.68,0.38,0.58,0.73,0.62,,0.77,0.54,0.57,,,0.5,0.56,,0.15,0.66,,0.35,,0.42,0.75,0.67,,,0.38,,,0.59,,,,,0.39,,0.44,0.55,0.63,0.4,0.68,,0.77,0.7,,,0.54,,0.56,
model_82,,0.47,0.7,,0.68,0.71,,0.76,0.74,0.64,,0.45,,,,,,0.61,,0.58,,0.71,,0.67,,0.81,,61.0,,,0.67,0.6,,0.74,0.47,,,,0.7,0.85,,0.77,,0.73,,,,,,,0.41,,0.54,0.88,,,0.36,,0.62,,,0.7,,0.45,,0.5,0.83,,,,,,,,,,0.83,,0.63,0.69,
model_27,,,0.54,,0.57,0.61,0.63,,,,0.32,0.31,,,0.54,,,,,0.39,0.47,0.36,0.37,0.52,,0.59,0.45,52.0,0.47,,,,0.49,,,0.56,,0.54,,0.72,0.44,,,0.51,0.5,,0.49,,,0.61,,0.43,,0.71,,,,0.25,,,0.57,0.65,0.36,0.33,,,0.64,0.44,,0.62,,,0.08,0.71,0.56,,0.68,,,,0.41
model_125,,,0.46,0.43,,,,0.67,0.55,,0.32,,0.45,,0.44,0.46,0.46,,,0.27,0.43,0.38,0.38,,0.48,0.62,0.43,67.0,,0.44,0.46,,,0.6,0.27,,,0.62,,,,,0.0,,,0.51,,,0.51,0.58,,,0.39,0.69,0.54,0.24,,,,,0.55,0.58,,0.3,,,,0.39,,0.55,,0.55,0.1,,0.47,0.59,0.64,0.43,0.47,0.5,0.36
model_43,0.45,,0.57,,,0.67,,0.72,0.58,,0.41,,,0.57,0.6,,0.4,,,,,,0.41,,0.6,,,44.0,0.51,,0.51,0.49,0.58,,,0.55,0.73,,,0.68,,,,,0.52,,,,,0.64,,0.42,0.44,0.73,0.56,,,,0.55,,,,,,,,,,0.61,0.62,,0.67,0.09,,,0.68,0.71,0.5,0.53,0.5,
model_138,,,,,,,,,,,0.55,,,0.61,0.76,0.58,,0.6,,,,,,,,0.81,,38.0,0.61,,,,,0.69,,0.62,,0.81,,,,,0.0,,0.56,0.61,,,,0.72,0.4,0.45,0.55,,,0.35,,,,,0.68,,,0.41,,,,,0.65,,0.52,,0.38,0.85,,,,,,,0.45
model_93,,0.47,,,,,0.73,,0.71,0.61,,0.45,,,0.73,0.62,,0.6,,0.52,,0.65,,,,0.8,,80.0,,,0.64,,,0.71,,,0.78,,,0.83,,,,,0.57,,,0.21,0.69,,,0.46,,0.87,,0.41,0.39,,,,0.64,,,0.42,,,,,0.61,,,,,0.8,,,,,0.62,,
model_56,,,,,,,,,,0.45,,,,,,0.51,0.44,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49,,,,,,,,,,,
model_39,0.4,0.39,,,0.51,,0.63,,,,0.34,,,,,0.52,,,0.56,,0.48,,,,,,,60.0,,,0.48,0.43,0.51,0.54,,,,,,,,,,,0.51,,,0.11,,,,,,,0.54,,0.16,0.32,,0.59,,,,0.35,,0.39,0.6,,0.58,,,,,0.74,,,0.62,,,,0.38
model_48,,,,,,,0.63,,,,0.42,,,,,,,,,,,,,,,,,32.0,,,,,,,,,,0.62,0.62,,,,,,,,0.52,,,,,,0.47,,0.58,,,,,,,,,,,0.4,,,0.63,,,,,,,,,,,0.46,
model_108,0.67,0.46,0.62,,,,,0.74,0.7,0.67,0.42,0.3,0.66,,0.79,0.61,,0.57,,,,0.49,0.52,,0.64,0.81,,41.0,,,0.63,,,0.72,0.35,0.58,0.83,,0.64,0.85,0.69,0.7,0.0,0.72,,,,0.32,,0.81,0.34,,,,0.75,0.33,0.43,0.6,0.58,,,,,0.5,,0.5,0.76,0.48,,0.78,0.54,0.7,0.6,,,0.72,,,0.54,,0.46
model_97,,,0.53,0.52,,0.65,0.64,0.72,0.64,0.57,,0.41,0.59,,0.53,0.55,,0.41,0.6,0.39,0.55,,0.42,,0.65,,,79.0,0.44,0.59,0.51,,,,,,0.63,0.59,0.6,,0.54,0.55,,0.58,,0.56,0.48,,0.49,0.58,,,,0.78,,,0.23,0.32,,,,0.65,,,,0.4,,0.47,0.55,0.65,0.49,0.71,,0.76,,,0.73,,0.57,0.53,0.46
model_66,0.73,,0.67,,,0.73,,0.76,0.72,,0.49,,,0.58,0.84,,0.59,,,,,,0.46,,0.7,,,65.0,0.61,,0.74,0.58,0.7,,,0.64,0.9,,,0.92,,,,,0.54,,,,,0.83,,0.44,0.5,0.89,0.79,,,,0.61,,,,,,,,,,0.61,0.8,,0.81,0.67,,0.89,0.73,0.84,0.6,0.56,0.69,
model_78,,0.51,0.72,,,,,,,,,0.47,,,0.84,0.64,0.5,,,0.65,0.6,,,,,,,69.0,0.61,0.72,,,,,,,,0.84,0.74,0.9,,,0.29,,,,0.71,,,,0.41,,,,,,0.51,,0.63,,0.7,,,,0.45,,0.89,,,0.83,,,0.62,,,,,0.66,,,
model_99,,,,,,,,,,,,,,,,,,,,,,,,,,,,78.0,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_92,0.43,,0.55,,0.63,0.64,,0.74,0.69,,,0.39,0.64,0.62,0.55,,0.46,,0.66,0.39,0.56,0.6,0.41,0.63,0.64,0.77,,40.0,,,0.57,0.52,0.63,,,0.59,,0.72,0.64,,0.55,,0.06,,,,,0.21,,0.65,0.37,0.43,,,,,,,0.6,,0.59,0.67,0.51,,,0.46,0.76,0.48,0.57,0.7,,0.7,0.18,,,,,0.58,,0.61,0.46
model_63,0.65,,,0.54,0.64,,0.71,0.74,,,,,0.69,,0.77,0.66,,,,0.6,0.51,,,0.69,0.67,,,43.0,,0.65,,,0.68,0.71,0.42,,0.87,,,,,0.74,,,,,,0.42,0.77,0.8,,0.41,0.48,,,,,,,,,,,0.47,0.36,0.5,0.77,0.5,0.6,0.75,0.47,0.78,,0.85,,,,0.6,0.53,0.65,0.45
model_121,,,,,,,,,,,,,,,,,,,,,,,,,,,,64.0,,,,,,,,,,,,,,,,,,,,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_129,,,0.45,,0.55,,,,,,,,,,,,,,,0.33,,,,,,,,42.0,,0.54,,,,,,,,,,,,,,,0.5,,,,,,0.35,,,,,,,,,,,0.63,,,,,,,,,,,,0.72,,,,0.54,,,
model_112,,0.44,,,,,,,,,,,0.63,,,,,0.54,,,,,,,,,,58.0,,,,,,,,0.55,,,,,0.62,,,,,,,,0.65,,0.32,,,,,,,0.44,,,,,,,,,,,,,,,,,,,,0.53,,,
model_114,,,0.45,0.44,,0.54,0.57,0.66,0.55,0.39,0.3,0.21,,0.49,,,,,,0.32,,,,,0.5,,0.46,68.0,0.31,,0.48,,,0.57,0.22,0.49,0.56,0.58,,0.61,0.45,0.48,0.0,,0.45,0.49,0.38,,,,0.29,,0.4,,0.46,0.21,,0.23,0.5,0.55,,,,0.3,,,,0.39,,,,0.5,0.15,,0.5,,0.61,0.43,,,
model_98,,0.41,,0.49,0.55,,,,0.61,0.53,0.43,0.38,,0.61,,0.49,,,0.63,0.35,0.53,,0.42,,,0.63,0.58,62.0,,0.62,,0.49,,,0.36,,,,0.56,,0.55,,,,0.54,,0.5,0.07,,,0.37,,0.46,0.77,,0.32,,,,0.66,0.55,,,,0.38,,,,,,,0.67,,0.69,0.63,,,0.58,,0.52,
model_131,0.39,,0.53,0.46,0.61,0.61,0.64,0.7,0.54,,,,,0.55,,,0.43,,,,,,,0.57,0.53,,,32.0,,,,,0.53,,0.35,,,,0.56,0.67,,0.52,0.0,,0.5,,,0.11,0.52,0.56,,,0.42,0.7,,,0.22,,0.52,0.57,0.56,,,,0.35,0.33,,,0.57,0.6,0.42,0.63,,0.74,,,,0.5,,0.45,
model_35,,,0.64,,0.67,,0.75,0.76,0.69,,,,0.68,,0.8,0.58,0.45,0.59,,,,0.53,,,0.64,0.78,,43.0,,,0.63,0.56,,0.63,,,,,0.74,0.8,,0.72,0.0,,,0.57,,,0.75,0.76,,,0.49,,0.75,,,0.51,,,,0.68,,0.45,0.37,0.45,0.77,0.47,0.65,0.76,0.46,,0.22,0.81,0.76,,,0.57,0.57,,0.45
model_29,0.39,,,,0.59,0.64,,0.72,,,,,,,,,,0.43,,,,,,,0.57,,,31.0,,,,,,,,,,0.6,0.67,,,,,0.52,,0.52,0.52,,,,,,,,0.57,,,,,,0.63,0.64,,0.38,,,,,0.57,,0.42,,,,,,,,,,
model_69,0.56,0.51,0.64,0.55,,0.69,0.75,0.74,,0.63,0.48,,,,0.71,0.65,0.56,,0.73,0.7,0.51,0.58,0.42,0.68,0.68,,0.59,39.0,,0.62,,0.55,0.67,0.73,,,0.8,0.75,,0.89,0.58,,,0.76,0.53,0.6,0.62,0.32,0.74,0.78,0.39,0.44,,,,,,,0.6,,0.66,0.66,,0.44,0.38,0.49,,0.51,,,0.46,0.78,0.56,0.84,,0.71,,,0.53,,
model_54,,,,,,,,,0.59,,0.42,,,,,,,,,,,,,,0.58,,,47.0,0.46,,,,0.44,,0.35,,,,,,0.47,,,0.61,,,,0.11,,,,,,,0.55,,,0.26,0.54,,0.55,,,,0.33,,,,,,,0.7,,0.71,,,,0.47,,,
model_117,,,0.6,,0.64,0.7,,0.73,,,,,0.6,0.55,0.67,,,0.52,,,0.49,0.43,0.5,0.6,,0.73,,45.0,0.46,,,0.56,0.64,0.66,,0.55,,0.73,0.61,0.84,,,0.0,,0.51,0.59,,,0.81,0.78,0.33,0.42,,,,0.31,,0.52,0.57,,0.65,0.64,0.49,,0.3,0.47,,0.46,0.56,0.72,0.52,,0.24,,,,,0.51,,0.59,
model_62,0.56,0.48,,,,,0.71,,,,0.45,,,,,0.65,,,0.67,,0.49,0.57,,,,,0.54,66.0,,,0.67,0.54,0.63,0.73,,,,,0.66,,,,,,,,,0.36,0.7,,,,,,0.69,,0.22,,,0.73,,,,0.4,,0.46,,,0.59,,,,0.4,0.84,,,0.78,,,,
model_89,0.72,0.51,,,0.72,0.74,0.78,0.78,,,,0.45,0.79,,,0.64,0.51,,,,0.61,0.73,0.5,0.7,0.72,,,85.0,0.64,,,0.62,0.71,,,,,,0.75,,,0.86,0.22,0.79,,0.65,0.7,,,,,,0.57,0.95,0.81,,0.48,0.62,,,0.69,,,,,0.56,,,,,,0.83,0.73,0.89,0.87,0.81,,,,0.75,0.53
model_57,,,,,0.52,,,0.71,0.57,,,,0.63,0.53,0.63,0.6,0.49,0.51,,,,0.52,,,,0.67,,42.0,,,,0.48,,0.68,,,,,0.62,,,,0.0,,,,,,0.63,0.69,,0.39,0.45,,0.63,,,,,,,0.63,,,0.31,0.44,,0.48,0.54,0.62,0.4,0.72,0.32,0.75,,,,0.54,0.49,,0.43
model_58,,,0.68,,,,,,,,,,,,,,,,,,,,,,,,,49.0,,,0.73,,,,,,,,,0.9,,0.78,,,,0.62,,,,,,,,,,,,0.57,,,,,,0.48,,,0.81,0.51,,,,,,,,,,,0.56,,
model_95,,,,,0.68,,0.7,0.76,0.71,0.53,,0.43,0.73,,,0.55,0.47,,,,0.59,,,0.65,,,0.63,82.0,0.59,,,,0.62,,,,,0.76,,0.83,,0.77,,0.69,,,0.65,,,,0.4,,0.53,0.88,,,,0.53,,,,0.68,,,,0.52,,0.52,,,0.56,0.78,,,,,,0.64,,,
model_150,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.46,,,,,,,,,,,,,,,,,,
model_52,,0.43,0.51,0.45,0.48,0.53,0.58,0.69,,,,0.35,0.57,0.51,,,,0.45,0.56,0.39,,0.42,,0.53,,,,68.0,,,0.51,,,,0.32,0.54,,0.64,0.54,,,0.52,0.0,0.5,,,,,,,,,0.42,0.66,,0.28,0.07,,0.54,0.6,0.54,,0.44,0.27,0.31,,0.61,0.42,0.5,,,0.62,0.23,0.71,0.51,,0.66,,,0.5,0.39
model_55,,,0.64,,,,,,,,0.47,,0.74,0.57,,0.67,,0.59,,,,,0.46,,,,,40.0,0.56,0.65,0.73,,,,,0.62,,,,0.86,,0.74,,,0.54,,,0.3,0.84,0.78,0.39,0.44,,,,,,0.54,0.6,,0.69,0.67,,0.46,0.38,0.49,,,,0.76,,,0.5,0.86,,0.69,,,,,
model_139,0.38,0.41,0.49,0.46,,,,0.69,0.59,0.4,0.4,0.3,,,,,,,,0.31,0.5,,0.35,0.55,,,0.5,71.0,0.47,,0.43,0.48,,0.55,,,,0.53,0.47,,0.55,0.44,0.0,0.55,0.49,0.51,0.48,0.08,0.46,,,0.41,0.42,,,0.28,,0.3,0.51,0.56,,,,0.27,0.33,0.34,,0.44,,0.59,,0.63,0.18,,0.53,,,,0.41,0.52,
model_68,0.39,0.48,,,0.49,,,,0.54,,0.41,,,0.52,0.51,,0.47,,,,,,,,,,,60.0,0.48,0.53,0.52,0.46,0.52,0.62,0.34,0.56,0.64,0.63,0.55,0.75,0.47,0.51,0.05,,,,,,,,,,0.44,,,,,0.36,0.55,,,,,,,,,,,0.66,,0.64,,,,,0.65,,,,0.39
model_102,,0.4,,0.41,0.51,,,,,,0.29,0.23,,,0.51,,0.47,0.47,,0.31,,,,0.53,,0.62,0.47,60.0,,,,,0.5,0.61,,0.48,,,,0.61,,,,,0.46,0.49,0.43,,,,0.3,,,0.68,0.53,0.22,0.18,0.29,0.49,,,0.6,0.43,,,0.37,0.53,,,,0.4,,,,,0.59,,,,,0.4
model_67,,,,,0.64,0.68,,0.74,,0.64,0.46,,0.7,0.57,,0.68,0.55,,0.72,0.6,,0.6,0.43,0.67,0.67,,0.58,53.0,0.58,0.64,0.66,0.54,,,,,,0.7,,,0.59,0.73,0.13,,,,0.58,,,0.72,,,0.48,0.86,,0.34,,0.49,0.59,0.76,0.64,,0.5,,0.37,0.45,,0.5,,0.77,,0.76,0.37,,,0.7,0.78,,0.52,,0.42
model_75,,0.42,,0.46,,,,,,,,,,0.5,0.48,0.54,0.41,0.45,,,,,,,0.6,0.59,,75.0,,,,,0.46,,,0.53,0.62,0.58,0.55,0.69,0.47,0.52,0.0,,,0.47,,,,0.54,,0.39,0.41,0.66,,,,,,,,0.6,,,,,,,0.53,,,,,,,,,,,,0.4
model_145,,,,,,,,,,,,,,,,,,,,0.33,,,,,,,,37.0,,,0.48,,,,,,,,,,,,,,,,,,,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
model_100,0.49,,,,0.62,0.65,,,0.66,0.54,,0.4,,0.62,,0.54,,,,0.41,,,,0.61,,,,45.0,,0.6,,,,,,,,,0.64,,0.55,,0.06,0.57,0.53,0.57,,0.1,,0.63,0.39,0.41,,,,0.31,,,0.6,,,0.66,0.5,0.38,,,,0.47,0.59,0.67,0.54,0.73,,,,0.65,0.76,0.57,0.58,0.6,0.44
model_124,0.4,,,,,,,,0.6,,0.35,,,,,,0.42,0.41,,,0.43,,,,0.55,,,58.0,,0.48,,,0.53,,,0.49,,0.63,,,,,0.0,,0.47,,,,,,,,0.41,,,,,,,0.61,,,,,,,,,,0.67,,,,,0.51,,,,,0.47,0.4
model_146,,,,,0.65,,,,,0.42,,,,,0.63,,,0.52,,,,,,,,,,67.0,,,,,,0.63,,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,0.51,,0.36,,,,,,,,,,,,,,,,
model_135,,0.46,,0.52,,0.73,,,,0.54,0.53,,,,0.72,0.58,0.5,,,,,0.57,0.42,0.69,0.63,0.77,0.59,54.0,0.56,0.64,0.54,,,0.66,,,,,,0.84,0.66,,,0.63,0.55,,,,0.73,0.65,,0.45,0.5,,0.69,,0.32,0.56,0.58,0.68,0.67,0.68,,,0.37,,,0.51,0.61,0.7,0.48,,0.36,0.82,0.63,0.73,,0.61,,0.61,0.44
model_76,,0.47,,,,,,0.75,,,,,,,0.65,0.59,0.46,,,,0.6,,,,,,,66.0,,,,,0.61,,,0.61,,,,,,,,0.74,,,,,,,,,,,,,,,,0.74,,,,,,,,,,,,,,,,,,0.63,0.59,,
model_26,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.47
model_47,,,,,,,,,,,,,,,,,0.47,,,,,,,,,,,64.0,,,,,,,,,,,,,,0.75,,,,,,,,0.83,,,,,0.8,,0.45,,,,,,,,,,0.82,,,,,,,,0.85,,,,,,0.48
